Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Class
A11,(30.0:47.5],A32,A40,(1773.0:3446.5],A61,A72,(:4.0],A92,A101,4,A123,(26.0:34.5],A143,A152,(:2.0],A173,1,A192,A201,Bad
A11,(15.5:21.0],A32,A42,(3913.5:4329.5],A61,A73,(:4.0],A93,A102,3,A123,(34.5:),A143,A152,(:2.0],A173,1,A191,A201,Bad
A11,(15.5:21.0],A32,A43,(1773.0:3446.5],A61,A73,(:4.0],A92,A101,2,A121,(:26.0],A143,A152,(:2.0],A173,1,A191,A201,Bad
A11,(30.0:47.5],A30,A49,(10918.0:),A61,A75,(:4.0],A93,A101,4,A123,(26.0:34.5],A143,A151,(:2.0],A173,1,A191,A201,Bad
A11,(21.0:30.0],A31,A40,(883.0:1373.0],A61,A71,(:4.0],A92,A102,4,A124,(26.0:34.5],A143,A151,(:2.0],A171,1,A191,A201,Bad
A13,(8.5:15.5],A34,A43,(883.0:1373.0],A65,A73,(:4.0],A93,A101,4,A124,(34.5:),A143,A153,(:2.0],A173,1,A192,A201,Bad
A11,(8.5:15.5],A32,A42,(5904.5:10918.0],A61,A75,(:4.0],A93,A101,4,A124,(34.5:),A143,A153,(:2.0],A174,1,A192,A201,Bad
A12,(47.5:),A32,A40,(5904.5:10918.0],A62,A74,(:4.0],A93,A101,2,A122,(:26.0],A143,A152,(:2.0],A173,1,A191,A201,Bad
A11,(21.0:30.0],A32,A40,(4329.5:5904.5],A61,A74,(:4.0],A93,A102,3,A122,(26.0:34.5],A143,A152,(:2.0],A173,1,A192,A201,Bad
A12,(21.0:30.0],A34,A42,(4329.5:5904.5],A61,A72,(:4.0],A92,A101,4,A123,(:26.0],A141,A152,(:2.0],A172,1,A191,A201,Bad
A11,(21.0:30.0],A32,A43,(1773.0:3446.5],A61,A73,(:4.0],A93,A101,4,A121,(:26.0],A143,A151,(:2.0],A172,2,A191,A201,Bad
A14,(8.5:15.5],A32,A46,(:883.0],A61,A75,(:4.0],A93,A101,4,A123,(34.5:),A141,A152,(:2.0],A172,2,A191,A201,Bad
A14,(30.0:47.5],A34,A40,(5904.5:10918.0],A61,A73,(:4.0],A92,A101,2,A121,(:26.0],A142,A152,(:2.0],A173,1,A192,A201,Bad
A12,(15.5:21.0],A33,A42,(3913.5:4329.5],A61,A75,(:4.0],A91,A101,3,A124,(34.5:),A143,A152,(:2.0],A174,1,A192,A201,Bad
A12,(21.0:30.0],A30,A49,(5904.5:10918.0],A61,A75,(:4.0],A92,A101,4,A124,(34.5:),A143,A153,(:2.0],A174,1,A192,A201,Bad
A12,(47.5:),A32,A43,(5904.5:10918.0],A61,A73,(:4.0],A92,A101,2,A121,(:26.0],A143,A152,(:2.0],A173,1,A191,A201,Bad
A14,(21.0:30.0],A31,A41,(5904.5:10918.0],A65,A71,(:4.0],A92,A101,1,A121,(34.5:),A141,A152,(:2.0],A174,1,A192,A201,Bad
A12,(8.5:15.5],A32,A43,(883.0:1373.0],A61,A72,(:4.0],A93,A101,1,A123,(:26.0],A142,A152,(:2.0],A173,1,A191,A201,Bad
A14,(15.5:21.0],A33,A42,(1773.0:3446.5],A61,A74,(:4.0],A92,A101,1,A121,(:26.0],A143,A152,(:2.0],A173,1,A191,A201,Bad
A13,(8.5:15.5],A32,A43,(1773.0:3446.5],A61,A72,(:4.0],A92,A101,3,A121,(:26.0],A143,A152,(:2.0],A172,1,A191,A201,Bad
A11,(21.0:30.0],A32,A42,(1773.0:3446.5],A61,A74,(:4.0],A92,A101,4,A121,(:26.0],A143,A151,(:2.0],A173,1,A191,A201,Bad
A11,(8.5:15.5],A32,A40,(3913.5:4329.5],A61,A73,(:4.0],A92,A101,2,A122,(26.0:34.5],A143,A152,(:2.0],A173,1,A192,A201,Bad
A12,(15.5:21.0],A34,A40,(883.0:1373.0],A61,A75,(:4.0],A93,A101,4,A123,(34.5:),A141,A152,(:2.0],A173,2,A192,A201,Bad
A11,(8.5:15.5],A32,A43,(:883.0],A61,A75,(:4.0],A93,A101,4,A121,(34.5:),A142,A152,(:2.0],A172,1,A191,A201,Bad
A12,(21.0:30.0],A32,A43,(1773.0:3446.5],A61,A72,(:4.0],A94,A101,1,A122,(:26.0],A143,A152,(:2.0],A173,1,A192,A201,Bad
A11,(8.5:15.5],A31,A43,(1773.0:3446.5],A61,A73,(:4.0],A91,A101,1,A124,(26.0:34.5],A143,A153,(:2.0],A173,1,A191,A201,Bad
A14,(8.5:15.5],A32,A42,(883.0:1373.0],A63,A73,(:4.0],A92,A101,4,A123,(26.0:34.5],A143,A151,(:2.0],A172,1,A191,A201,Bad
A11,(8.5:15.5],A32,A40,(883.0:1373.0],A61,A74,(:4.0],A91,A101,3,A123,(34.5:),A143,A152,(:2.0],A173,1,A191,A201,Bad
A12,(:8.5],A31,A40,(883.0:1373.0],A62,A72,(:4.0],A92,A101,1,A122,(26.0:34.5],A142,A152,(:2.0],A172,1,A191,A201,Bad
A11,(21.0:30.0],A32,A40,(883.0:1373.0],A65,A73,(:4.0],A92,A101,4,A121,(:26.0],A143,A151,(:2.0],A173,1,A191,A201,Bad
A14,(30.0:47.5],A32,A43,(1773.0:3446.5],A65,A73,(:4.0],A92,A101,4,A123,(:26.0],A143,A152,(:2.0],A173,1,A191,A201,Good
A14,(8.5:15.5],A32,A42,(1773.0:3446.5],A65,A74,(:4.0],A92,A101,4,A121,(26.0:34.5],A141,A151,(:2.0],A172,1,A191,A201,Good
A14,(8.5:15.5],A32,A40,(1773.0:3446.5],A65,A71,(:4.0],A93,A101,4,A124,(34.5:),A143,A152,(:2.0],A174,1,A192,A201,Good
A14,(30.0:47.5],A34,A43,(5904.5:10918.0],A61,A73,(:4.0],A92,A101,2,A123,(26.0:34.5],A142,A152,(:2.0],A173,1,A191,A201,Good
A12,(30.0:47.5],A31,A44,(3913.5:4329.5],A65,A72,(:4.0],A92,A101,2,A124,(26.0:34.5],A141,A152,(:2.0],A171,1,A191,A201,Good
A14,(15.5:21.0],A32,A43,(1773.0:3446.5],A65,A75,(:4.0],A93,A101,3,A122,(34.5:),A143,A152,(:2.0],A173,1,A192,A201,Good
A12,(8.5:15.5],A32,A49,(1373.0:1773.0],A63,A75,(:4.0],A94,A101,2,A121,(34.5:),A143,A152,(:2.0],A173,1,A192,A201,Good
A14,(15.5:21.0],A33,A42,(1373.0:1773.0],A62,A74,(:4.0],A93,A101,3,A121,(26.0:34.5],A143,A152,(:2.0],A174,1,A191,A201,Good
A14,(21.0:30.0],A34,A49,(3913.5:4329.5],A62,A73,(:4.0],A93,A101,3,A122,(26.0:34.5],A143,A152,(:2.0],A172,1,A192,A201,Good
A14,(30.0:47.5],A32,A43,(5904.5:10918.0],A65,A74,(:4.0],A94,A101,4,A122,(26.0:34.5],A143,A151,(:2.0],A173,1,A192,A201,Good
A11,(15.5:21.0],A34,A42,(3913.5:4329.5],A61,A75,(:4.0],A92,A101,4,A122,(:26.0],A143,A152,(:2.0],A173,1,A191,A201,Good
A12,(8.5:15.5],A34,A40,(1773.0:3446.5],A63,A74,(:4.0],A91,A101,3,A123,(34.5:),A143,A152,(:2.0],A174,1,A192,A201,Good
A11,(8.5:15.5],A34,A40,(1773.0:3446.5],A61,A72,(:4.0],A93,A101,3,A121,(34.5:),A143,A151,(:2.0],A172,2,A191,A202,Good
A14,(:8.5],A34,A40,(1773.0:3446.5],A63,A73,(:4.0],A94,A101,2,A123,(:26.0],A143,A152,(:2.0],A173,1,A191,A201,Good
A14,(8.5:15.5],A32,A43,(1773.0:3446.5],A62,A75,(:4.0],A93,A102,4,A123,(34.5:),A143,A152,(:2.0],A173,1,A192,A201,Good
A12,(15.5:21.0],A32,A49,(1773.0:3446.5],A64,A73,(:4.0],A93,A101,2,A122,(34.5:),A143,A152,(:2.0],A172,1,A192,A201,Good
A11,(30.0:47.5],A32,A42,(5904.5:10918.0],A61,A74,(:4.0],A93,A103,4,A122,(34.5:),A143,A153,(:2.0],A173,2,A191,A201,Good
A14,(21.0:30.0],A32,A41,(3446.5:3913.5],A62,A74,(:4.0],A92,A101,4,A123,(:26.0],A143,A152,(:2.0],A173,1,A191,A201,Good
A14,(21.0:30.0],A32,A41,(4329.5:5904.5],A65,A74,(:4.0],A92,A101,4,A122,(:26.0],A142,A151,(:2.0],A172,1,A191,A201,Good
A14,(21.0:30.0],A34,A43,(5904.5:10918.0],A61,A74,(:4.0],A93,A102,2,A123,(34.5:),A143,A152,(:2.0],A173,1,A191,A201,Good
