Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Class
A11,(34.5:),A32,A40,(1773.0:1991.0],A61,A72,(:4.0],A92,A101,4,A123,(25.5:35.0],A143,A152,1,A173,1,A192,A201,Bad
A11,(16.0:20.5],A32,A42,(3913.5:4468.0],A61,A73,(:4.0],A93,A102,3,A123,(41.0:43.5],A143,A152,1,A173,1,A191,A201,Bad
A11,(16.0:20.5],A32,A43,(1991.0:3446.5],A61,A73,(:4.0],A92,A101,2,A121,(:25.5],A143,A152,1,A173,1,A191,A201,Bad
A11,(34.5:),A30,A49,(10918.0:),A61,A75,(:4.0],A93,A101,4,A123,(25.5:35.0],A143,A151,2,A173,1,A191,A201,Bad
A11,(20.5:24.0],A31,A40,(1186.5:1373.0],A61,A71,(:4.0],A92,A102,4,A124,(25.5:35.0],A143,A151,2,A171,1,A191,A201,Bad
A13,(11.5:16.0],A34,A43,(1186.5:1373.0],A65,A73,(:4.0],A93,A101,4,A124,(35.0:41.0],A143,A153,2,A173,1,A192,A201,Bad
A11,(11.5:16.0],A32,A42,(5904.5:10918.0],A61,A75,(:4.0],A93,A101,4,A124,(52.5:),A143,A153,1,A174,1,A192,A201,Bad
A12,(34.5:),A32,A40,(5904.5:10918.0],A62,A74,(:4.0],A93,A101,2,A122,(:25.5],A143,A152,1,A173,1,A191,A201,Bad
A11,(20.5:24.0],A32,A40,(4468.0:5904.5],A61,A74,(:4.0],A93,A102,3,A122,(25.5:35.0],A143,A152,1,A173,1,A192,A201,Bad
A12,(20.5:24.0],A34,A42,(4468.0:5904.5],A61,A72,(:4.0],A92,A101,4,A123,(:25.5],A141,A152,1,A172,1,A191,A201,Bad
A11,(20.5:24.0],A32,A43,(1773.0:1991.0],A61,A73,(:4.0],A93,A101,4,A121,(:25.5],A143,A151,1,A172,2,A191,A201,Bad
A14,(11.5:16.0],A32,A46,(653.0:979.5],A61,A75,(:4.0],A93,A101,4,A123,(35.0:41.0],A141,A152,1,A172,2,A191,A201,Bad
A14,(34.5:),A34,A40,(5904.5:10918.0],A61,A73,(:4.0],A92,A101,2,A121,(:25.5],A142,A152,2,A173,1,A192,A201,Bad
A12,(16.0:20.5],A33,A42,(3913.5:4468.0],A61,A75,(:4.0],A91,A101,3,A124,(35.0:41.0],A143,A152,1,A174,1,A192,A201,Bad
A12,(24.0:34.5],A30,A49,(5904.5:10918.0],A61,A75,(:4.0],A92,A101,4,A124,(41.0:43.5],A143,A153,2,A174,1,A192,A201,Bad
A12,(34.5:),A32,A43,(5904.5:10918.0],A61,A73,(:4.0],A92,A101,2,A121,(:25.5],A143,A152,1,A173,1,A191,A201,Bad
