Att1,Att2,Att3,Att4,Att5,Att6,Att7,Att8,Att9,Att10,Att11,Att12,Att13,Att14,Att15,Att16,Att17,Att18,Att19,Att20,Class
A11,(34.5:43.5],A32,A40,(1806.0:1939.0],A61,A72,(:4.0],A92,A101,4,A123,(25.5:34.5],A143,A152,(:1.5],A173,1,A192,A201,Bad
A11,(17.0:19.0],A32,A42,(3909.5:5139.5],A61,A73,(:4.0],A93,A102,3,A123,(34.5:52.5],A143,A152,(:1.5],A173,1,A191,A201,Bad
A11,(17.0:19.0],A32,A43,(1939.0:3415.0],A61,A73,(:4.0],A92,A101,2,A121,(:25.5],A143,A152,(:1.5],A173,1,A191,A201,Bad
A11,(43.5:),A30,A49,(10918.0:),A61,A75,(:4.0],A93,A101,4,A123,(25.5:34.5],A143,A151,(1.5:),A173,1,A191,A201,Bad
A11,(19.0:34.5],A31,A40,(:1387.0],A61,A71,(:4.0],A92,A102,4,A124,(25.5:34.5],A143,A151,(1.5:),A171,1,A191,A201,Bad
A13,(11.5:17.0],A34,A43,(:1387.0],A65,A73,(:4.0],A93,A101,4,A124,(34.5:52.5],A143,A153,(1.5:),A173,1,A192,A201,Bad
A11,(11.5:17.0],A32,A42,(5139.5:10918.0],A61,A75,(:4.0],A93,A101,4,A124,(52.5:),A143,A153,(:1.5],A174,1,A192,A201,Bad
A12,(43.5:),A32,A40,(5139.5:10918.0],A62,A74,(:4.0],A93,A101,2,A122,(:25.5],A143,A152,(:1.5],A173,1,A191,A201,Bad
A11,(19.0:34.5],A32,A40,(3909.5:5139.5],A61,A74,(:4.0],A93,A102,3,A122,(25.5:34.5],A143,A152,(:1.5],A173,1,A192,A201,Bad
A12,(19.0:34.5],A34,A42,(3909.5:5139.5],A61,A72,(:4.0],A92,A101,4,A123,(:25.5],A141,A152,(:1.5],A172,1,A191,A201,Bad
A11,(19.0:34.5],A32,A43,(1939.0:3415.0],A61,A73,(:4.0],A93,A101,4,A121,(:25.5],A143,A151,(:1.5],A172,2,A191,A201,Bad
A14,(11.5:17.0],A32,A46,(:1387.0],A61,A75,(:4.0],A93,A101,4,A123,(34.5:52.5],A141,A152,(:1.5],A172,2,A191,A201,Bad
A14,(34.5:43.5],A34,A40,(5139.5:10918.0],A61,A73,(:4.0],A92,A101,2,A121,(:25.5],A142,A152,(1.5:),A173,1,A192,A201,Bad
A12,(17.0:19.0],A33,A42,(3909.5:5139.5],A61,A75,(:4.0],A91,A101,3,A124,(34.5:52.5],A143,A152,(:1.5],A174,1,A192,A201,Bad
A12,(19.0:34.5],A30,A49,(5139.5:10918.0],A61,A75,(:4.0],A92,A101,4,A124,(34.5:52.5],A143,A153,(1.5:),A174,1,A192,A201,Bad
A12,(43.5:),A32,A43,(5139.5:10918.0],A61,A73,(:4.0],A92,A101,2,A121,(:25.5],A143,A152,(:1.5],A173,1,A191,A201,Bad
